region_country,category,parameter,mode,powertrain,year,unit,value,Aggregate group
Mexico,Historical,EV sales,Cars,PHEV,2016,Vehicles,520,Other
Chile,Historical,EV sales,Cars,PHEV,2023,Vehicles,510,Other
Cyprus,Historical,EV sales,Cars,PHEV,2023,Vehicles,510,Other
Chile,Historical,EV sales,Cars,PHEV,2022,Vehicles,470,Other
Colombia,Historical,EV sales,Cars,PHEV,2020,Vehicles,470,Other
Bulgaria,Historical,EV sales,Cars,PHEV,2024,Vehicles,470,Other
Czech Republic,Historical,EV sales,Cars,PHEV,2019,Vehicles,470,Other
Russia,Historical,EV sales,Cars,PHEV,2023,Vehicles,460,Other
Colombia,Historical,EV sales,Cars,PHEV,2019,Vehicles,450,Other
Hungary,Historical,EV sales,Cars,PHEV,2017,Vehicles,440,Other
Portugal,Historical,EV sales,Cars,PHEV,2015,Vehicles,430,Other
Estonia,Historical,EV sales,Cars,PHEV,2022,Vehicles,430,Other
Denmark,Historical,EV sales,Cars,PHEV,2015,Vehicles,420,Other
Finland,Historical,EV sales,Cars,PHEV,2015,Vehicles,420,Other
Central and South America,Historical,EV sales,Cars,PHEV,2017,Vehicles,410,Other
Poland,Historical,EV sales,Cars,PHEV,2016,Vehicles,400,Other
Switzerland,Historical,EV sales,Cars,PHEV,2012,Vehicles,400,Other
Turkiye,Historical,EV sales,Cars,PHEV,2020,Vehicles,400,Other
Croatia,Historical,EV sales,Cars,PHEV,2021,Vehicles,400,Other
Lithuania,Historical,EV sales,Cars,PHEV,2021,Vehicles,400,Other
Bulgaria,Historical,EV sales,Cars,PHEV,2023,Vehicles,360,Other
Latvia,Historical,EV sales,Cars,PHEV,2023,Vehicles,350,Other
Belgium,Historical,EV sales,Cars,PHEV,2012,Vehicles,340,Other
China,Historical,EV sales,Cars,PHEV,2010,Vehicles,340,Other
Italy,Historical,EV sales,Cars,PHEV,2014,Vehicles,340,Other
New Zealand,Historical,EV sales,Cars,PHEV,2016,Vehicles,340,Other
Norway,Historical,EV sales,Cars,PHEV,2013,Vehicles,340,Other
Korea,Historical,EV sales,Cars,PHEV,2016,Vehicles,330,Other
Spain,Historical,EV sales,Cars,PHEV,2014,Vehicles,330,Other
Ireland,Historical,EV sales,Cars,PHEV,2017,Vehicles,330,Other
China,Historical,EV sales,Cars,PHEV,2011,Vehicles,320,Other
Colombia,Historical,EV sales,Cars,PHEV,2018,Vehicles,320,Other
Norway,Historical,EV sales,Cars,PHEV,2012,Vehicles,320,Other
Slovenia,Historical,EV sales,Cars,PHEV,2021,Vehicles,310,Other
Canada,Historical,EV sales,Cars,PHEV,2011,Vehicles,300,Other
Chile,Historical,EV sales,Cars,PHEV,2021,Vehicles,300,Other
Ireland,Historical,EV sales,Cars,PHEV,2016,Vehicles,300,Other
Latvia,Historical,EV sales,Cars,PHEV,2022,Vehicles,300,Other
Brazil,Historical,EV sales,Cars,PHEV,2017,Vehicles,290,Other
Greece,Historical,EV sales,Cars,PHEV,2019,Vehicles,290,Other
South Africa,Historical,EV sales,Cars,PHEV,2016,Vehicles,280,Other
Czech Republic,Historical,EV sales,Cars,PHEV,2018,Vehicles,280,Other
India,Historical,EV sales,Cars,PHEV,2023,Vehicles,270,Other
South Africa,Historical,EV sales,Cars,PHEV,2023,Vehicles,270,Other
China,Historical,EV sales,Cars,PHEV,2012,Vehicles,260,Other
Finland,Historical,EV sales,Cars,PHEV,2014,Vehicles,260,Other
Korea,Historical,EV sales,Cars,PHEV,2015,Vehicles,250,Other
Germany,Historical,EV sales,Cars,PHEV,2011,Vehicles,240,Other
Estonia,Historical,EV sales,Cars,PHEV,2021,Vehicles,240,Other
Brazil,Historical,EV sales,Cars,PHEV,2018,Vehicles,230,Other
Cyprus,Historical,EV sales,Cars,PHEV,2022,Vehicles,230,Other
Greece,Historical,EV sales,Cars,PHEV,2018,Vehicles,210,Other
New Zealand,Historical,EV sales,Cars,PHEV,2014,Vehicles,210,Other
New Zealand,Historical,EV sales,Cars,PHEV,2015,Vehicles,200,Other
Switzerland,Historical,EV sales,Cars,PHEV,2014,Vehicles,200,Other
Slovakia,Historical,EV sales,Cars,PHEV,2019,Vehicles,200,Other
Slovenia,Historical,EV sales,Cars,PHEV,2018,Vehicles,190,Other
Italy,Historical,EV sales,Cars,PHEV,2013,Vehicles,180,Other
Central and South America,Historical,EV sales,Cars,PHEV,2016,Vehicles,170,Other
Finland,Historical,EV sales,Cars,PHEV,2013,Vehicles,170,Other
Iceland,Historical,EV sales,Cars,PHEV,2015,Vehicles,170,Other
Switzerland,Historical,EV sales,Cars,PHEV,2013,Vehicles,170,Other
Hungary,Historical,EV sales,Cars,PHEV,2016,Vehicles,170,Other
Slovenia,Historical,EV sales,Cars,PHEV,2017,Vehicles,170,Other
Indonesia,Historical,EV sales,Cars,PHEV,2023,Vehicles,160,Other
Indonesia,Historical,EV sales,Cars,PHEV,2024,Vehicles,150,Other
Poland,Historical,EV sales,Cars,PHEV,2015,Vehicles,150,Other
South Africa,Historical,EV sales,Cars,PHEV,2020,Vehicles,150,Other
Greece,Historical,EV sales,Cars,PHEV,2017,Vehicles,140,Other
Thailand,Historical,EV sales,Cars,PHEV,2017,Vehicles,140,Other
Bulgaria,Historical,EV sales,Cars,PHEV,2022,Vehicles,140,Other
Croatia,Historical,EV sales,Cars,PHEV,2020,Vehicles,140,Other
Latvia,Historical,EV sales,Cars,PHEV,2021,Vehicles,140,Other
Costa Rica,Historical,EV sales,Cars,PHEV,2021,Vehicles,130,Other
Finland,Historical,EV sales,Cars,PHEV,2012,Vehicles,130,Other
South Africa,Historical,EV sales,Cars,PHEV,2017,Vehicles,130,Other
South Africa,Historical,EV sales,Cars,PHEV,2015,Vehicles,120,Other
South Africa,Historical,EV sales,Cars,PHEV,2022,Vehicles,120,Other
Bulgaria,Historical,EV sales,Cars,PHEV,2021,Vehicles,120,Other
Ireland,Historical,EV sales,Cars,PHEV,2015,Vehicles,120,Other
Rest of the world,Historical,EV sales,Cars,PHEV,2014,Vehicles,110,Other
Spain,Historical,EV sales,Cars,PHEV,2012,Vehicles,110,Other
Turkiye,Historical,EV sales,Cars,PHEV,2015,Vehicles,110,Other
Australia,Historical,EV sales,Cars,PHEV,2013,Vehicles,100,Other
Portugal,Historical,EV sales,Cars,PHEV,2014,Vehicles,98,Other
Cyprus,Historical,EV sales,Cars,PHEV,2021,Vehicles,98,Other
India,Historical,EV sales,Cars,PHEV,2024,Vehicles,95,Other
Rest of the world,Historical,EV sales,Cars,PHEV,2012,Vehicles,95,Other
Turkiye,Historical,EV sales,Cars,PHEV,2019,Vehicles,94,Other
Denmark,Historical,EV sales,Cars,PHEV,2014,Vehicles,90,Other
Chile,Historical,EV sales,Cars,PHEV,2019,Vehicles,85,Other
Costa Rica,Historical,EV sales,Cars,PHEV,2016,Vehicles,85,Other
Viet Nam,Historical,EV sales,Cars,PHEV,2024,Vehicles,84,Other
Turkiye,Historical,EV sales,Cars,PHEV,2016,Vehicles,83,Other
Cyprus,Historical,EV sales,Cars,PHEV,2020,Vehicles,83,Other
France,Historical,EV sales,Cars,PHEV,2010,Vehicles,82,Other
South Africa,Historical,EV sales,Cars,PHEV,2018,Vehicles,82,Other
Australia,Historical,EV sales,Cars,PHEV,2012,Vehicles,80,Other
Chile,Historical,EV sales,Cars,PHEV,2020,Vehicles,79,Other
Indonesia,Historical,EV sales,Cars,PHEV,2022,Vehicles,79,Other
Estonia,Historical,EV sales,Cars,PHEV,2020,Vehicles,75,Other
Latvia,Historical,EV sales,Cars,PHEV,2020,Vehicles,73,Other
South Africa,Historical,EV sales,Cars,PHEV,2019,Vehicles,72,Other
Spain,Historical,EV sales,Cars,PHEV,2013,Vehicles,72,Other
Chile,Historical,EV sales,Cars,PHEV,2018,Vehicles,68,Other
Croatia,Historical,EV sales,Cars,PHEV,2019,Vehicles,67,Other
Central and South America,Historical,EV sales,Cars,PHEV,2015,Vehicles,66,Other
Israel,Historical,EV sales,Cars,PHEV,2015,Vehicles,65,Other
Viet Nam,Historical,EV sales,Cars,PHEV,2023,Vehicles,64,Other
Israel,Historical,EV sales,Cars,PHEV,2016,Vehicles,63,Other
Thailand,Historical,EV sales,Cars,PHEV,2014,Vehicles,63,Other
Indonesia,Historical,EV sales,Cars,PHEV,2019,Vehicles,62,Other
Costa Rica,Historical,EV sales,Cars,PHEV,2022,Vehicles,61,Other
Poland,Historical,EV sales,Cars,PHEV,2014,Vehicles,61,Other
Belgium,Historical,EV sales,Cars,PHEV,2013,Vehicles,60,Other
Colombia,Historical,EV sales,Cars,PHEV,2017,Vehicles,56,Other
France,Historical,EV sales,Cars,PHEV,2011,Vehicles,56,Other
Greece,Historical,EV sales,Cars,PHEV,2016,Vehicles,56,Other
Bulgaria,Historical,EV sales,Cars,PHEV,2019,Vehicles,56,Other
Russia,Historical,EV sales,Cars,PHEV,2015,Vehicles,55,Other
Costa Rica,Historical,EV sales,Cars,PHEV,2018,Vehicles,54,Other
Israel,Historical,EV sales,Cars,PHEV,2014,Vehicles,52,Other
South Africa,Historical,EV sales,Cars,PHEV,2021,Vehicles,51,Other
India,Historical,EV sales,Cars,PHEV,2021,Vehicles,50,Other
Brazil,Historical,EV sales,Cars,PHEV,2016,Vehicles,47,Other
Slovenia,Historical,EV sales,Cars,PHEV,2016,Vehicles,46,Other
Turkiye,Historical,EV sales,Cars,PHEV,2018,Vehicles,45,Other
India,Historical,EV sales,Cars,PHEV,2020,Vehicles,43,Other
Switzerland,Historical,EV sales,Cars,PHEV,2011,Vehicles,41,Other
Bulgaria,Historical,EV sales,Cars,PHEV,2020,Vehicles,41,Other
Slovenia,Historical,EV sales,Cars,PHEV,2020,Vehicles,39,Other
Bulgaria,Historical,EV sales,Cars,PHEV,2017,Vehicles,38,Other
Costa Rica,Historical,EV sales,Cars,PHEV,2023,Vehicles,37,Other
Russia,Historical,EV sales,Cars,PHEV,2022,Vehicles,37,Other
Thailand,Historical,EV sales,Cars,PHEV,2016,Vehicles,37,Other
Portugal,Historical,EV sales,Cars,PHEV,2013,Vehicles,35,Other
Central and South America,Historical,EV sales,Cars,PHEV,2013,Vehicles,34,Other
Turkiye,Historical,EV sales,Cars,PHEV,2017,Vehicles,34,Other
Brazil,Historical,EV sales,Cars,PHEV,2013,Vehicles,33,Other
Estonia,Historical,EV sales,Cars,PHEV,2018,Vehicles,33,Other
Russia,Historical,EV sales,Cars,PHEV,2017,Vehicles,32,Other
Costa Rica,Historical,EV sales,Cars,PHEV,2019,Vehicles,31,Other
Indonesia,Historical,EV sales,Cars,PHEV,2021,Vehicles,31,Other
Portugal,Historical,EV sales,Cars,PHEV,2012,Vehicles,30,Other
Iceland,Historical,EV sales,Cars,PHEV,2014,Vehicles,29,Other
Brazil,Historical,EV sales,Cars,PHEV,2015,Vehicles,28,Other
Slovenia,Historical,EV sales,Cars,PHEV,2019,Vehicles,28,Other
Indonesia,Historical,EV sales,Cars,PHEV,2017,Vehicles,27,Other
Bulgaria,Historical,EV sales,Cars,PHEV,2018,Vehicles,26,Other
Colombia,Historical,EV sales,Cars,PHEV,2016,Vehicles,25,Other
Chile,Historical,EV sales,Cars,PHEV,2015,Vehicles,23,Other
Iceland,Historical,EV sales,Cars,PHEV,2013,Vehicles,23,Other
India,Historical,EV sales,Cars,PHEV,2022,Vehicles,23,Other
Indonesia,Historical,EV sales,Cars,PHEV,2020,Vehicles,23,Other
Thailand,Historical,EV sales,Cars,PHEV,2015,Vehicles,23,Other
Costa Rica,Historical,EV sales,Cars,PHEV,2024,Vehicles,22,Other
Greece,Historical,EV sales,Cars,PHEV,2015,Vehicles,22,Other
Russia,Historical,EV sales,Cars,PHEV,2016,Vehicles,22,Other
Turkiye,Historical,EV sales,Cars,PHEV,2014,Vehicles,22,Other
United Kingdom,Historical,EV sales,Cars,PHEV,2010,Vehicles,21,Other
Costa Rica,Historical,EV sales,Cars,PHEV,2017,Vehicles,20,Other
Rest of the world,Historical,EV sales,Cars,PHEV,2013,Vehicles,20,Other
Estonia,Historical,EV sales,Cars,PHEV,2017,Vehicles,20,Other
Viet Nam,Historical,EV sales,Cars,PHEV,2022,Vehicles,19,Other
Brazil,Historical,EV sales,Cars,PHEV,2012,Vehicles,18,Other
Central and South America,Historical,EV sales,Cars,PHEV,2012,Vehicles,18,Other
Latvia,Historical,EV sales,Cars,PHEV,2016,Vehicles,18,Other
Latvia,Historical,EV sales,Cars,PHEV,2017,Vehicles,18,Other
Israel,Historical,EV sales,Cars,PHEV,2013,Vehicles,17,Other
Netherlands,Historical,EV sales,Cars,PHEV,2011,Vehicles,17,Other
Rest of the world,Historical,EV sales,Cars,PHEV,2011,Vehicles,17,Other
Estonia,Historical,EV sales,Cars,PHEV,2019,Vehicles,17,Other
Latvia,Historical,EV sales,Cars,PHEV,2018,Vehicles,17,Other
Belgium,Historical,EV sales,Cars,PHEV,2011,Vehicles,16,Other
Costa Rica,Historical,EV sales,Cars,PHEV,2020,Vehicles,16,Other
Chile,Historical,EV sales,Cars,PHEV,2017,Vehicles,15,Other
Japan,Historical,EV sales,Cars,PHEV,2011,Vehicles,15,Other
Hungary,Historical,EV sales,Cars,PHEV,2015,Vehicles,15,Other
Central and South America,Historical,EV sales,Cars,PHEV,2014,Vehicles,14,Other
Chile,Historical,EV sales,Cars,PHEV,2014,Vehicles,14,Other
Costa Rica,Historical,EV sales,Cars,PHEV,2015,Vehicles,12,Other
Denmark,Historical,EV sales,Cars,PHEV,2012,Vehicles,12,Other
Latvia,Historical,EV sales,Cars,PHEV,2019,Vehicles,12,Other
Denmark,Historical,EV sales,Cars,PHEV,2013,Vehicles,10,Other
Chile,Historical,EV sales,Cars,PHEV,2016,Vehicles,9,Other
Iceland,Historical,EV sales,Cars,PHEV,2012,Vehicles,9,Other
Latvia,Historical,EV sales,Cars,PHEV,2015,Vehicles,9,Other
Belgium,Historical,EV sales,Cars,PHEV,2010,Vehicles,8,Other
Spain,Historical,EV sales,Cars,PHEV,2011,Vehicles,8,Other
Bulgaria,Historical,EV sales,Cars,PHEV,2016,Vehicles,8,Other
India,Historical,EV sales,Cars,PHEV,2019,Vehicles,7,Other
Mexico,Historical,EV sales,Cars,PHEV,2015,Vehicles,7,Other
United Kingdom,Historical,EV sales,Cars,PHEV,2011,Vehicles,7,Other
New Zealand,Historical,EV sales,Cars,PHEV,2013,Vehicles,6,Other
Poland,Historical,EV sales,Cars,PHEV,2013,Vehicles,6,Other
New Zealand,Historical,EV sales,Cars,PHEV,2012,Vehicles,5,Other
Poland,Historical,EV sales,Cars,PHEV,2012,Vehicles,4,Other
Colombia,Historical,EV sales,Cars,PHEV,2015,Vehicles,3,Other
Denmark,Historical,EV sales,Cars,PHEV,2011,Vehicles,2,Other
Indonesia,Historical,EV sales,Cars,PHEV,2018,Vehicles,2,Other
New Zealand,Historical,EV sales,Cars,PHEV,2011,Vehicles,2,Other
Portugal,Historical,EV sales,Cars,PHEV,2011,Vehicles,2,Other
Colombia,Historical,EV sales,Cars,PHEV,2013,Vehicles,1,Other
Israel,Historical,EV sales,Cars,PHEV,2012,Vehicles,1,Other
Poland,Historical,EV sales,Cars,PHEV,2010,Vehicles,1,Other
South Africa,Historical,EV sales,Cars,PHEV,2014,Vehicles,1,Other
Turkiye,Historical,EV sales,Cars,PHEV,2013,Vehicles,1,Other
